Name,Current_Skills,Wanted_skills,Age,College,Attendance,Biography
Nat Turner,"['BMX', 'Beachcombing', 'Rappelling']","['Stuffed toy collecting', 'Table tennis']",70,Santa Cruz County Regional Occupation Program,masters,"I'm Nat Turner, and at 70, I've spent a good chunk of my life exploring various passions. Growing up, I was drawn to the thrill of BMX riding, which still gives me a rush every time I hit the trails. Beachcombing has become a favorite pastime of mine; there’s something therapeutic about searching for treasures along the shore. I’ve also developed a knack for rappelling—there’s an undeniable excitement in scaling rocks and feeling the adrenaline rush as I descend. While I enjoy sharing these skills with others, I’m always looking to expand my horizons. I’ve recently found myself fascinated by the idea of collecting stuffed toys; there’s a certain charm in them that I’d love to understand better. Also, I’ve never quite mastered table tennis, and I think there’s much I could learn from a skilled player. My educational journey included a stint at the Santa Cruz County Regional Occupation Program, where I focused on honing my skills. Learning from others has always been a big part of my life, and I believe there’s always room for growth, no matter your age."
Whoopi Goldberg,"['Laser tag', 'Cricket', 'Geocaching']",['Sculling\xa0or\xa0rowing'],43,Santa Cruz County Regional Occupation Program,undergraduate,"I’m Whoopi, a 43-year-old with a passion for learning and sharing what I know. I’ve picked up a few skills along the way, like geocaching and cricket, and I’ve become quite the laser tag strategist. There's something thrilling about the game that keeps me coming back for more. I studied at the Santa Cruz County Regional Occupation Program, which really opened my eyes to the world of possibilities in both personal and professional development. I’m always on the lookout for new experiences and perspectives, especially when it comes to sculling or rowing—those skills intrigue me, and I’d love to find someone who can teach me the ropes. I believe that everyone has something valuable to offer, and I thrive on collaboration and learning from others. Whether it's honing my skills or helping someone else discover theirs, I’m all about growth and exploration."
Leslie Nielsen,"['Kitesurfing', 'Freestyle football', 'Learning', 'Pool']","['Book collecting', 'Racquetball']",66,Santa Cruz County Office of Education,undergraduate,"I'm Leslie Nielsen, a 66-year-old with a passion for learning and sharing what I know. I’ve spent a good chunk of my life mastering skills like kitesurfing and freestyle football, which have kept me active and engaged. I also enjoy the occasional game of pool, where I get to unwind and connect with friends. My time at the Santa Cruz County Office of Education was pivotal, shaping my approach to learning and teaching. I’m always on the lookout for new experiences and knowledge, especially when it comes to book collecting and racquetball—two areas I’d love to dive into deeper if someone’s willing to guide me. I believe that every interaction is an opportunity to learn, and I’m eager to improve my skills by learning from those around me."
Barbara McClintock,"['Lotology\xa0(lottery ticket collecting)', 'Inline skating', 'Flower collecting and pressing', 'Renaissance fair', 'Leaves']","['Book collecting', 'Kabaddi', 'Transit map collecting']",96,Santa Cruz County Regional Occupation Program,,"I'm Barbara McClintock, and at 96, I’ve gathered quite a few interests over the years. I've spent a significant amount of my time collecting lottery tickets, which I find fascinating not only for the thrill but for the stories behind each ticket. Inline skating is another passion of mine; there’s something freeing about gliding along the pavement. Then there’s flower collecting and pressing, which brings a touch of nature’s beauty into my home. I’ve also dabbled in the vibrant world of Renaissance fairs, where I enjoy the creativity and camaraderie they foster. Despite my experience, I’m always eager to learn. I’m particularly interested in book collecting, as I appreciate the history and stories bound within their pages. Kabaddi intrigues me too; the strategy and physicality seem exhilarating. And transit map collecting? That feels like a unique way to explore cities without ever leaving my armchair. I attended the Santa Cruz County Regional Occupation Program, which sparked my journey, but what truly fuels my spirit is the opportunity to connect with others and exchange knowledge."
DeWitt Clinton,"['Billiards', 'Microbiology', 'Lacrosse', 'Video gaming', 'Literature']","['Knife collecting', 'Rock climbing', 'Car tuning', 'Hunting', 'Speedcubing']",62,"CSUMB - California State University, Monterey Bay",undergraduate,"I’m DeWitt Clinton, a 62-year-old with a passion for learning and sharing knowledge. My journey began at California State University, Monterey Bay, where I immersed myself in various subjects that sparked my curiosity. Over the years, I've developed a knack for billiards and microbiology, and I’ve enjoyed coaching lacrosse and sharing my love for literature with others. Video gaming has been a fun escape, though I always look to improve my strategies by learning from fellow gamers. Despite my diverse interests, I find myself drawn to new skills that intrigue me—knife collecting, for instance, captures my imagination, as does the thrill of rock climbing. I’ve always wanted to dive deeper into car tuning and hunting, while speedcubing looks like a fascinating challenge. I believe that learning from others is one of the most rewarding aspects of life, so I'm always on the lookout for opportunities to connect with those who can teach me something new."
Gwen Verdon,"['Herping', 'Crystals', 'Radio-controlled model playing']","['Canoeing', 'Go', 'Judo', 'Butterfly watching']",42,"CSUMB - California State University, Monterey Bay",,"I’m Gwen Verdon, and at 42, I find myself captivated by the world around me, always eager to soak up knowledge from those willing to share. My journey has led me to develop a few unique skills—like herping, where I explore the fascinating lives of reptiles and amphibians, and diving into the intricate world of crystals. I also enjoy the thrill of radio-controlled model playing, where precision meets creativity. However, I’m not one to shy away from new challenges. I’ve got a list of skills I’m keen to learn, such as canoeing, where I imagine gliding through calm waters, or judo, which intrigues me with its blend of discipline and physicality. I also have a budding interest in butterfly watching; there’s something enchanting about observing nature’s delicate wonders. My academic journey took me to California State University, Monterey Bay, where I embraced my love for the environment and learning. I believe that the best way to grow is through sharing experiences and learning from others, and I’m always on the lookout for opportunities to connect and expand my horizons."
Cungagnaq,"['Speedcubing', 'Biology', 'Surfing', 'Groundhopping']","['Dog walking', 'BASE jumping', 'Architecture']",45,UCSC - University of California at Santa Cruz,undergraduate,"I’m Cungagnaq, 45, and I’ve always believed in the power of learning from others. My journey started at UCSC, where I dived into biology, but my interests expanded well beyond the classroom. I’ve developed a knack for speedcubing, and there's something satisfying about solving those puzzles quickly. Surfing is another passion of mine; there’s nothing quite like catching a wave and feeling the ocean's rhythm. I also enjoy groundhopping, exploring different football grounds and soaking up the local culture that comes with them. While I’m happy to share what I know, I’m also on the lookout for opportunities to learn. Dog walking intrigues me; there’s an art to it that I haven’t yet mastered. BASE jumping sounds thrilling, though I’d need some guidance before taking the plunge. Architecture fascinates me too—I’d love to understand the principles behind designing spaces that feel both functional and aesthetic. I think there’s a lot to gain from the experiences and skills of others, and I’m eager to connect with people who can help me grow in these areas."
Gus Hall,"['Sports science', 'Lapel pins', 'Animal fancy', 'Sculling\xa0or\xa0rowing', 'Biology']",['Renaissance fair'],36,"CSUMB - California State University, Monterey Bay",phd,"I'm Gus Hall, and at 36 years old, I'm navigating the fascinating world of sports science and biology, armed with a PhD from California State University, Monterey Bay. My journey has led me to develop a variety of interests, from the intricacies of lapel pins to the thrill of sculling on the water. I find joy in sharing what I've learned about animal fancy, whether it's about breeding or care tips. Yet, I'm always on the lookout for new skills to pick up from others. One area that intrigues me is the Renaissance fair scene; I’d love to dive into the history and craft behind it, but I haven't quite found the right guide yet. I believe that learning is a two-way street, and I’m eager to absorb knowledge from anyone willing to share their expertise. Whether it's through workshops, informal chats, or even just watching someone in action, I appreciate the unique perspectives others bring to the table. The continuous growth and exchange of ideas keep me motivated, and I'm excited to see where these interests will lead me next."
Stanley Fish,"['Running', 'Surfing', 'Speedcubing', 'Marbles', 'Speed skating']","['Business', 'Airsoft']",45,Santa Cruz County Regional Occupation Program,phd,"I'm Stanley Fish, a 45-year-old who thrives on the thrill of learning and the challenge of mastering new skills. My journey has led me to develop a passion for running, surfing, and speedcubing, among other interests. I’ve spent countless hours honing these skills, and now, I enjoy sharing my knowledge with others. Whether it's teaching someone how to glide on waves or solve a Rubik's Cube in record time, I find fulfillment in passing on what I've learned. However, I'm always on the lookout for new frontiers to explore. Business strategies and airsoft tactics intrigue me, and I hope to connect with seasoned pros who can guide me in those areas. I studied at the Santa Cruz County Regional Occupation Program, which laid a solid foundation for my continual learning. With each experience, I aim to grow and become a better version of myself, while also helping others along the way."
Steven Brust,"['Trainspotting', 'Rughooking', 'Flying']","['Mycology', 'publishing']",31,Did not attend college,,"I'm Steven Brust, 31 years old, and I’ve always had a knack for picking up unusual skills. I’ve spent my share of time on the train tracks, immersing myself in trainspotting, where I find a certain thrill in identifying different locomotives. I also enjoy rug hooking, which is a surprisingly meditative process, and I’ve even taken to the skies with my flying lessons. While I’m confident sharing what I know, I’m equally eager to learn from others. My curiosity leads me to mycology—there's so much to discover about fungi that I find fascinating—and I’ve been wanting to dive into the world of publishing. I didn't go the traditional route of college, but I believe that learning doesn’t stop outside the classroom. Instead, I seek connections with those who can share their expertise, as I believe that every interaction holds a lesson. Whether it’s through casual conversations or hands-on experiences, I’m all about absorbing new information and skills that enrich my life."
Jeff Bridges,"['Amusement park visiting', 'Shooting', 'Board sports', 'Horsemanship']","['Philately', 'Geocaching', 'Laser tag', 'Tea bag collecting', 'Fishing']",45,UCSC - University of California at Santa Cruz,masters,"I'm Jeff Bridges, a 45-year-old lifelong learner with a diverse set of interests and skills. My journey began at UCSC, where I pursued a master's degree that opened my eyes to new ideas and ways of thinking. I’ve always had a passion for the thrills of amusement parks and the freedom of board sports, and I enjoy sharing these experiences with others. Whether it's shooting hoops or riding horses, I find joy in connecting with people through activities that bring us together. However, I'm constantly looking to expand my horizons, which is why I'm eager to learn from others in areas like philately and geocaching. There’s something intriguing about the pursuit of collecting and exploring new hobbies, and I’d love to dive into fishing as well. I believe that every interaction is an opportunity for growth, and I’m excited about the prospect of gaining new skills while sharing what I know with those around me."
Judi Bari,"['Fingerprint collecting', 'Sculling\xa0or\xa0rowing', 'Walking', 'Air hockey']",['Hooping'],33,"CSUMB - California State University, Monterey Bay",masters,"I’m Judi Bari, a 33-year-old with a strong passion for learning and sharing skills. Currently, I’m diving deep into my master’s program at California State University, Monterey Bay, where I’ve honed a few unique abilities, like fingerprint collecting and sculling. When I’m not studying, you can probably find me enjoying a casual game of air hockey or taking long walks, appreciating the simplicity of movement. I believe that the best way to grow is by learning from others, which is why I’m always on the lookout for new experiences. One skill that has intrigued me for a while is hooping; I can’t seem to master it, and I’d love to find someone who can show me the ropes. I think there’s something incredibly fulfilling about connecting through shared knowledge and skills, whether it's teaching or being taught. Each interaction is an opportunity for growth, and I'm eager to embrace that in whatever form it comes."
Henry Bergh,"['Mycology', 'Stuffed toy collecting', 'Topiary', 'Board sports']","['History', 'Volleyball', 'Renovating', 'Rughooking', 'Cartophily\xa0(card collecting)']",76,Santa Cruz County Office of Education,,"I’m Henry Bergh, a 76-year-old with a passion for learning and sharing what I know. My journey has been colorful, marked by my love for mycology and a growing collection of stuffed toys that tell their own stories. I’ve dabbled in topiary, crafting living art, and I still enjoy board sports that keep my spirit young. While I find joy in teaching others these skills, I'm equally eager to broaden my horizons. There are so many areas I want to dive into, like the rich tapestry of history and the strategy behind volleyball. I’ve always been intrigued by the art of renovating spaces, the intricate patterns of rug hooking, and even the thrill of cartophily—collecting cards that capture moments in time. My education at Santa Cruz County Office of Education laid a foundation, but the real lessons come from the people around me. I believe every interaction is an opportunity for growth, and I’m here for it."
Fred Gwynne,"['Kabaddi', 'Crystals']","['Walking', 'Motor sports']",86,Did not attend college,,"I’m Fred Gwynne, and at 86 years old, I've gathered a fair amount of experiences along the way. I’ve spent a good chunk of my life exploring various interests, particularly in Kabaddi and the fascinating world of crystals. There's something rewarding about sharing these passions with others; it’s like passing on a part of my journey. While I’ve found joy in learning and teaching, I also realize that there’s always more to discover. I often think about how much I’d love to learn more about walking techniques and the thrill of motorsports. I didn’t attend college, but life has been my classroom, and every interaction is a chance to learn something new. I appreciate the wisdom that comes from others, and I’m always on the lookout for opportunities to grow."
Aaron Burr,['Sun bathing'],"['Car tuning', 'Amusement park visiting', 'Racquetball', 'Business', 'Vacation']",86,UCSC - University of California at Santa Cruz,,"I'm Aaron Burr, an 86-year-old who believes that learning is a lifelong journey. While I’ve picked up a few skills over the years—like sunbathing, which is as simple as it sounds but surprisingly nuanced—I’m always on the lookout for ways to expand my horizons. There’s something fascinating about the intricacies of car tuning, a skill I wish someone would share with me. I’ve also developed a curious interest in the thrill of amusement park visits and the fast-paced game of racquetball. My time at UCSC gave me a taste of academia, but it left me wanting to dive deeper into the business world and even explore the art of vacationing—yes, there’s a skill to that too. I find that connecting with people who have different experiences can open doors to new insights, and I genuinely appreciate those who are willing to teach. Whether it's sharing a sunny afternoon or swapping stories about life lessons, I’m here for it."
James M. Buchanan,"['Whale watching', 'Orienteering', 'Safari', 'Dog walking']","['Kabaddi', 'People-watching', 'Car tuning']",88,UCSC - University of California at Santa Cruz,phd,"I'm James M. Buchanan, an 88-year-old who has spent a lifetime exploring the world, both in the classroom and out in nature. I earned my PhD from UCSC, where I developed a deep appreciation for the interconnectedness of life. Over the years, I’ve honed a few skills that I’m more than happy to share, like whale watching, orienteering, and even a bit of dog walking. Each of these activities has taught me something new about patience and observation, which I find incredibly rewarding. However, I’m not one to rest on my laurels. I’m always on the lookout for new experiences and knowledge. I’ve got a curiosity about kabaddi, something I’ve never tried but find intriguing, and I could definitely use some guidance on car tuning. I often enjoy people-watching, but I realize there’s so much more to learn from others’ perspectives. Whether it’s through sharing what I know or picking up new skills, I believe there’s a wealth of wisdom in our interactions."
Yehudi Menuhin,['Automobilism'],"['Orienteering', 'Boxing', 'Airsoft', 'Ephemera collecting', 'Cartophily\xa0(card collecting)']",37,"CSUMB - California State University, Monterey Bay",undergraduate,"I'm Yehudi Menuhin, a 37-year-old with a passion for learning and sharing knowledge. Currently, I’m honing my skills in automobilism, which has opened up a whole new world for me, but I’m always on the lookout for new challenges. I studied at California State University, Monterey Bay, where I built a solid foundation in various subjects. Beyond my current interests, I’m particularly eager to dive into orienteering, boxing, and even airsoft—activities that push both my physical and mental limits. There's also something intriguing about collecting ephemera and cartophily; the stories behind these items fascinate me. I believe that every experience, whether I’m teaching or learning, contributes to my growth. I find value in connecting with others who have different expertise, as their insights often spark new ideas and perspectives. While I enjoy sharing what I know about automobilism, I’m equally enthusiastic about absorbing knowledge from those who can help me navigate the worlds of boxing or card collecting."
Alexander Shulgin,"['Dowsing', 'Pool', 'Race walking', 'Flying', 'Radio-controlled model playing']","['Powerboat racing', 'Lacrosse', 'Notaphily\xa0(banknote collecting)']",22,Cabrillo College,,"I'm Alexander Shulgin, a 22-year-old with a diverse set of interests and a keen desire to learn. Currently, I'm well-versed in dowsing, pool, and race walking—skills I've honed over the years and am more than willing to share with anyone interested. There's something quite satisfying about helping others grasp concepts that I've spent time mastering. However, I'm always on the lookout for new skills to acquire myself. Powerboat racing, lacrosse, and notaphily have caught my attention lately, and I'm eager to find someone who can guide me in those areas. I’m currently attending Cabrillo College, which has opened up opportunities to connect with like-minded individuals, although I haven't officially settled into a routine yet. I believe that learning from others is one of the most effective ways to grow, and I'm excited to see where this journey takes me."
Bernard Baruch,['Ultimate frisbee'],"['Motor sports', 'Knife collecting']",79,Santa Cruz County Regional Occupation Program,undergraduate,"I'm Bernard Baruch, and at 79, I've spent a lifetime embracing new challenges and experiences. My journey has taken me from the vibrant atmosphere of Santa Cruz County Regional Occupation Program to a passion for ultimate frisbee, which I now enjoy teaching to anyone eager to learn. I find joy in sharing the strategies and teamwork behind the game. While I’ve accumulated a fair share of skills over the years, there’s always room for growth, and I’m particularly interested in diving into the world of motor sports and knife collecting. These hobbies intrigue me, and I’d love to connect with those who can guide me through them. Learning has always been a vital part of my life; I appreciate the insights others can offer and the unique perspectives they bring. Whether it’s on the field or in a workshop, I believe there’s something valuable to gain from every interaction."
Rudolf Carnap,"['Lapel pins', 'Sports memorabilia', 'Ballet dancing']","['Shooting sports', 'Business', 'Beachcombing', 'Cribbage']",93,Santa Cruz County Office of Education,undergraduate,"I'm Rudolf Carnap, and at 93, I've gathered a wealth of experience that I’m always eager to share. My journey has led me through various interests, from collecting lapel pins and sports memorabilia to diving into the world of ballet dancing. Each of these passions has taught me something unique, and I enjoy passing that knowledge on to anyone willing to learn. Yet, I’m someone who believes that learning is a two-way street. There’s so much I still want to explore, particularly in shooting sports and business, and I have a curiosity about beachcombing and cribbage as well. My time at the Santa Cruz County Office of Education was a formative step in my journey, and I carry that spirit of inquiry with me. I often find that there’s a lot to gain from connecting with others who have different skills and experiences, and I’m always on the lookout for opportunities to grow."
Thomas Szasz,['Jujitsu'],"['Table tennis', 'Sports memorabilia', 'Skiing']",63,"CSUMB - California State University, Monterey Bay",,"I’m Thomas Szasz, and at 63, I’ve spent a considerable amount of time honing my craft in jujitsu, which I’m passionate about teaching to others. My journey has been a mix of self-discovery and skill development, all while navigating the ever-changing landscape of life. I graduated from California State University, Monterey Bay, where I learned the value of collaboration and the exchange of ideas. While I enjoy sharing my knowledge of martial arts, I’m also on the lookout for opportunities to expand my horizons. I’ve always had a curiosity about table tennis, sports memorabilia, and skiing—three areas I’d love to dive into with someone who’s experienced. Learning from others is something I truly value; there’s always something new to grasp, and it’s fascinating to see how different skills can complement each other. Each encounter is an opportunity for growth, and I appreciate the diversity of experiences that come from connecting with others who are passionate about their interests."
Wright brothers,"['Herping', 'Snowmobiling', 'History', 'Vintage cars', 'Trapshooting']","['Baton twirling', 'Groundhopping', 'Lacrosse', 'Transit map collecting']",31,Cabrillo College,phd,"I’m Wright, a 31-year-old with a passion for learning and sharing knowledge. Having spent time at Cabrillo College, where I dove deep into various subjects, I’ve cultivated a few skills along the way. I find joy in herping and snowmobiling, and I’m always excited to share what I know about vintage cars and trapshooting. History has also been a significant interest of mine, connecting the dots between past events and present-day life. However, I'm not one to rest on my laurels. There are plenty of skills I'd love to learn from others, like baton twirling and groundhopping, which both intrigue me for different reasons. Lacrosse has always fascinated me with its fast pace, and I can’t help but admire the art of transit map collecting. Each of these interests represents a part of my journey in discovering new perspectives, and I’m eager to engage with others who can teach me something new."
Lawrence Welk,"['Marbles', 'Bus spotting', 'Whale watching']","['Color guard', 'Softball', 'Kitesurfing', 'Laser tag']",98,Cabrillo College,undergraduate,"I'm Lawrence Welk, and at 98 years old, I've had my fair share of experiences that have shaped who I am today. After attending Cabrillo College, I found a knack for various hobbies, and I enjoy sharing what I've learned along the way—like the fine art of marbles or the thrill of bus spotting. There's something about observing the world through a lens that captures my interest, especially when it comes to whale watching, which has become a passion of mine. But while I have a few tricks up my sleeve, I’m always eager to learn new things from others. I’ve got my eyes set on mastering skills like color guard and kitesurfing, and I wouldn’t mind picking up some tactics in laser tag or honing my softball skills, too. I believe there’s always room to grow, and each interaction offers a chance to expand my horizons."
Judy Garland,"['Ultimate frisbee', 'Action figure', 'jurisprudential']","['Car tuning', 'Boxing', 'Guerrilla gardening', 'Backpacking']",42,"CSUMB - California State University, Monterey Bay",masters,"I’m Judy Garland, a 42-year-old who’s currently pursuing a master’s degree at CSUMB, where I dive deep into the world of jurisprudence. My journey has led me to discover a passion for ultimate frisbee, and I enjoy sharing that knowledge with others—it’s a great way to connect and stay active. I’ve also developed an interest in action figures, both as collectibles and as an art form, which adds a unique layer to my life. While I’m comfortable teaching these skills, I’m always on the lookout for opportunities to expand my horizons. I’ve got a keen interest in learning about car tuning, boxing, guerrilla gardening, and backpacking. I believe there’s always something new to glean from others; it’s like a constant exchange that fuels personal growth. I find inspiration in the diverse experiences of those around me, and I’m eager to soak up all the knowledge I can."
Ron Howard,"['Ballet dancing', 'Dog walking', 'Color guard', 'Powerboat racing']","['Racquetball', 'Climbing', 'Guerrilla gardening', 'Bus spotting']",95,Santa Cruz County Regional Occupation Program,,"I’m Ron Howard, and at 95, I’ve found that the joy of learning never really fades. While I’ve spent a good chunk of my life mastering skills like ballet dancing and powerboat racing, I’ve come to realize that there’s always something new to explore. I love sharing what I know, whether it’s guiding someone through the graceful movements of color guard or the simple pleasure of dog walking. But I’m not just about passing on knowledge; I’m eager to soak up new experiences myself. I’ve got my eye on racquetball and climbing, and I’d love to learn more about guerrilla gardening and even bus spotting. My time at the Santa Cruz County Regional Occupation Program taught me a lot, and now I’m keen to connect with others who can help broaden my horizons. There’s something invigorating about exchanging skills and insights, and I think it keeps life interesting."
Liza Minnelli,"['Table tennis playing', 'Mini Golf', 'Walking']","['Footbag', 'Cheerleading', 'Powerboat racing', 'Sand art']",71,UCSC - University of California at Santa Cruz,phd,"I’m Liza Minnelli, a 71-year-old with a passion for learning and sharing what I know. Having spent years honing my skills in table tennis and mini golf, I find joy in teaching others the intricacies of these games. Walking is another simple pleasure I love to share, whether it’s exploring local trails or just enjoying a stroll around town. My academic journey took me to UCSC, where I pursued a PhD, which really opened my eyes to the endless possibilities of knowledge. Yet, I’m always eager to expand my horizons. There are so many skills I’d love to learn from others, like the finesse of footbag, the energy of cheerleading, the thrill of powerboat racing, and the creativity of sand art. I believe that every interaction is an opportunity to grow, and I’m excited about the potential connections that can come from sharing experiences and learning from one another. It’s all part of the journey."
Sam Houston,"['Mini Golf', 'Rock painting', 'Car tuning', 'Canoeing']","['Architecture', 'Horseback riding', 'Iceboat racing', 'Shogi', 'Gold prospecting']",54,"CSUMB - California State University, Monterey Bay",undergraduate,"I’m Sam Houston, a 54-year-old lifelong learner from California. I spent my college years at CSUMB, where I soaked up as much knowledge as I could. Over the years, I’ve picked up a few skills that I’m more than happy to share, like mini golf, rock painting, car tuning, and canoeing. There’s something satisfying about teaching others, whether it’s showing the perfect putt or how to get a car running smoothly. But I’m not just about giving; I’m always on the lookout for new things to learn. There are so many fascinating skills out there that I wish someone would take the time to teach me, like architecture or horseback riding. And if anyone could show me the ropes of iceboat racing or Shogi, I’d be all in. Gold prospecting sounds like a thrilling adventure too. I believe that learning from others is one of the best ways to grow, and I’m eager to expand my horizons."
Alanis Morissette,"['Field hockey', 'Vintage cars', 'Insect collecting']","['Amateur astronomy', 'Marbles', 'Hooping', 'Speed skating', 'Polo']",69,Santa Cruz County Regional Occupation Program,undergraduate,"I’m Alanis Morissette, and at 69, I've spent a good chunk of my life diving into various interests and hobbies. I’ve always had a penchant for field hockey and have developed a soft spot for vintage cars. There’s something about the craftsmanship and history behind them that fascinates me. I also enjoy the meticulous art of insect collecting, which has taught me patience and a keen eye for detail. My journey has led me to the Santa Cruz County Regional Occupation Program, where I dabbled in my undergraduate studies. While I have my strengths, I'm always looking to expand my horizons. There are skills I wish to learn, like amateur astronomy, which intrigues me with its vastness, and hooping, which seems like a fun way to stay active. I’ve heard polo can be exhilarating, and I’m curious about speed skating as well—seems like a thrilling challenge. I believe that learning from others is one of the best ways to grow, and I'm eager to connect with those who share my interests or can introduce me to new ones."
Leslie Groves,"['Mycology', 'Sculling\xa0or\xa0rowing', 'Biology', 'Myrmecology', 'Gymnastics']",['Skydiving'],87,Santa Cruz County Office of Education,masters,"I’m Leslie Groves, and at 87 years old, I’ve spent a lifetime diving deep into various fields like mycology and myrmecology. My passion for biology has led me to explore the intricate relationships between organisms, and I've even taken to the water with sculling and rowing, which has been a refreshing change of pace. I’ve dabbled in gymnastics too, finding joy in the movement and discipline it brings. Having spent my academic years at the Santa Cruz County Office of Education, I’ve always believed in the value of lifelong learning. I’m eager to share what I know with others, especially those curious about the natural world or the art of rowing. However, there’s always room for growth, and I'm itching to learn something completely outside my comfort zone—like skydiving. The thrill of jumping from a plane and experiencing that rush is something I’d love to master with the guidance of someone experienced. Every interaction is an opportunity to learn, and I’m keen on exchanging knowledge while also soaking up new experiences along the way."
Sergey Brin,"['Table tennis', 'Ballet dancing']","['Shooting sports', 'Herping', 'Cheerleading']",86,Santa Cruz County Regional Occupation Program,phd,"I’m Sergey Brin, 86 years old, and I’ve spent a good chunk of my life honing various skills. I’ve always had a passion for table tennis and ballet dancing, and I enjoy sharing what I know with others. It’s rewarding to see someone grasp a concept or improve their technique, especially in a sport or art form I love. Currently, I’m on the lookout for new challenges and experiences. I’m particularly intrigued by shooting sports, herping, and even cheerleading—skills I haven’t explored yet but hope to learn from those who are experienced. My educational journey took me through the Santa Cruz County Regional Occupation Program, where I pursued a PhD. Learning has always been a driving force in my life, and I believe that everyone has something valuable to offer. I appreciate the opportunity to connect with different people, absorb their knowledge, and maybe even inspire them to pick up a new hobby along the way."
Gene Rayburn,['Gardening'],"['Rock climbing', 'Herping']",91,Santa Cruz County Regional Occupation Program,phd,"I’m Gene Rayburn, a 91-year-old with a lifelong passion for learning and sharing knowledge. I’ve spent countless hours cultivating my gardening skills, nurturing everything from vibrant flowers to fresh vegetables. It’s rewarding to watch things grow, and I enjoy passing on what I’ve learned to those who share my interest in the outdoors. However, I’m not one to rest on my laurels. I’ve always been drawn to the idea of rock climbing; the thrill of conquering heights fascinates me, and I’m eager to learn the ropes—literally. I also have a budding curiosity about herping, the art of observing reptiles and amphibians in their natural habitats. I attended the Santa Cruz County Regional Occupation Program, where I delved deep into various subjects, but my thirst for knowledge hasn’t waned. I believe that learning is a lifelong journey, and I’m always on the lookout for new experiences and skills to acquire, especially from those who are passionate about what they do."
Greg Ginn,"['Dairy Farming', 'Baton twirling', 'Parkour']","['Snowmobiling', 'Hooping', 'Sled dog racing', 'publishing', 'Swimming']",29,Did not attend college,,"I’m Greg Ginn, and at 29, I find myself navigating life with a unique blend of interests and skills. Growing up in a rural setting, dairy farming became second nature to me, and I’ve honed that expertise over the years. I also have a knack for baton twirling and parkour, which keeps things dynamic and adventurous. While I’ve managed to cultivate these skills independently, I’m always on the lookout for opportunities to learn from others. There’s so much out there that I’m eager to dive into—like snowmobiling and sled dog racing. I think they’d be incredible experiences, and I can’t help but admire the artistry in hooping. I've never stepped foot in a college classroom, but I believe in learning through hands-on experiences and connecting with people who share their knowledge. It’s fascinating how much you can grow just by engaging with others, and I’m constantly seeking ways to improve myself, whether it’s through swimming lessons or getting insights into the publishing world. Life’s a journey, and I’m here to make the most of it."
Dave Mustaine,"['Comic book collecting', 'Iceboat racing', 'Kitesurfing', 'Mycology']","['Car tuning', 'Video game collecting']",22,"CSUMB - California State University, Monterey Bay",undergraduate,"I’m Dave Mustaine, a 22-year-old undergrad at CSUMB, where I’m diving into the world of computer science. My interests are a bit all over the place, but I enjoy comic book collecting, iceboat racing, kitesurfing, and even dabbling in mycology. There’s something fascinating about the stories behind each comic and the thrill of racing on ice. I’m always looking to learn from those around me, especially when it comes to skills I haven’t mastered yet. I’ve been itching to get into car tuning and video game collecting, but I could use some guidance there. It’s all about connecting with people who share similar passions and learning from their experiences. Each new skill adds another layer to my life, and I’m eager to keep building on what I know while helping others with what I can share."
Jamshied Sharifi,['Geocaching'],['Beekeeping'],25,"CSUMB - California State University, Monterey Bay",phd,"I’m Jamshied Sharifi, a 25-year-old currently pursuing my PhD at California State University, Monterey Bay. My journey has been a mix of academics and personal exploration, leading me to discover a passion for geocaching, which I’ve enjoyed sharing with others. There’s something about the thrill of the hunt and the camaraderie it fosters that keeps me engaged. I’m always eager to learn new skills, and one area I’m particularly interested in is beekeeping. The idea of working with bees and understanding their role in our ecosystem fascinates me. I believe that knowledge is best when shared, which is why I love connecting with others who can teach me something new. I find that learning from different perspectives not only enhances my skills but also broadens my understanding of the world. Whether it’s through group projects at school or casual meetups, I’m always on the lookout for opportunities to grow and collaborate."
John Wayne Gacy,"['Speedcubing', 'Speed skating']","['Geocaching', 'Cribbage', 'Road biking']",97,Santa Cruz County Regional Occupation Program,masters,"I'm John Wayne Gacy, and at 97, I've come to appreciate the importance of continuous learning. Having honed my skills in speedcubing and speed skating, I find joy in sharing what I know with others. There's something invigorating about the challenge of mastering intricate patterns and gliding smoothly on ice. My journey has led me through various experiences, including my time at the Santa Cruz County Regional Occupation Program, where I pursued a master's program that opened my eyes to new possibilities. While I enjoy teaching, I'm also on the lookout for mentors who can introduce me to the world of geocaching, cribbage, and road biking—interests that have piqued my curiosity lately. I believe that every interaction holds the potential to teach us something valuable, and I'm eager to soak up knowledge from those around me. Life has a way of surprising us, and I'm ready to embrace whatever comes next, always striving to learn and grow."
